name,year,mean_trash,population,mean_trash_std_ton,mean_trash_std_kg,cumsum,cumsum17
Baden-Württemberg,2006,6850700,10738025,0.637985104337157,637.985104337157,637.985104337157,8501.83608029556
Baden-Württemberg,2007,6801703,10746294,0.63293475871775,632.93475871775,1270.91986305491,8501.83608029556
Baden-Württemberg,2008,7007824,10751652,0.65179044113407,651.79044113407,1922.71030418898,8501.83608029556
Baden-Württemberg,2009,7375095,10746927,0.686251521016194,686.251521016194,2608.96182520517,8501.83608029556
Baden-Württemberg,2010,7503690,10748450,0.698118333341086,698.118333341087,3307.08015854626,8501.83608029556
Baden-Württemberg,2011,7864351,10495473,0.749308868690339,749.308868690339,4056.3890272366,8501.83608029556
Baden-Württemberg,2012,7985253,10540776,0.757558361927054,757.558361927054,4813.94738916365,8501.83608029556
Baden-Württemberg,2013,8216463,10600195,0.775123759515745,775.123759515745,5589.07114867939,8501.83608029556
Baden-Württemberg,2014,7840557,10673961,0.734549901390871,734.549901390871,6323.62105007027,8501.83608029556
Baden-Württemberg,2015,7535068,10798131,0.697812241766654,697.812241766654,7021.43329183692,8501.83608029556
Baden-Württemberg,2016,8065029,10915756,0.738842916606051,738.842916606051,7760.27620844297,8501.83608029556
Baden-Württemberg,2017,8148007,10987659,0.741559871852594,741.559871852594,8501.83608029556,8501.83608029556
Bayern,2006,11500775,12478639,0.921636966980133,921.636966980133,921.636966980133,12246.5699453995
Bayern,2007,12361300,12504647,0.988536501670139,988.536501670139,1910.17346865027,12246.5699453995
Bayern,2008,12819613,12520811,1.02386442859013,1023.86442859013,2934.0378972404,12246.5699453995
Bayern,2009,12456271,12503876,0.996192780542609,996.192780542609,3930.23067778301,12246.5699453995
Bayern,2010,13172564,12522689,1.05189580289026,1051.89580289026,4982.12648067327,12246.5699453995
Bayern,2011,13185881,12413388,1.06223063357079,1062.23063357079,6044.35711424406,12246.5699453995
Bayern,2012,13848817,12481472,1.10954997936141,1109.54997936141,7153.90709360546,12246.5699453995
Bayern,2013,12797675,12561908,1.01876840683756,1018.76840683756,8172.67550044302,12246.5699453995
Bayern,2014,13324887,12647906,1.05352514479472,1053.52514479472,9226.20064523774,12246.5699453995
Bayern,2015,13227611,12767541,1.03603434678612,1036.03434678612,10262.2349920239,12246.5699453995
Bayern,2016,12894626,12887133,1.00058143265845,1000.58143265845,11262.8164246823,12246.5699453995
Bayern,2017,12753359,12963978,0.983753520717175,983.753520717175,12246.5699453995,12246.5699453995
Berlin,2006,1250468,3399896,0.367795956111599,367.795956111599,367.795956111599,6766.03498583308
Berlin,2007,1379169,3407625,0.404730274017828,404.730274017828,772.526230129426,6766.03498583308
Berlin,2008,1592072,3424638,0.464887675719302,464.887675719302,1237.41390584873,6766.03498583308
Berlin,2009,1854010,3434580,0.539806905065539,539.806905065539,1777.22081091427,6766.03498583308
Berlin,2010,1831136,3446972,0.531230308804365,531.230308804365,2308.45111971863,6766.03498583308
